	 	No_Result
4	13.89	DNA/RNA/Protein/Metabolic NoDivision
6	13.89	DNA/RNA/Protein/Metabolic NoDivision
7	13.89	DNA/RNA/Protein/Metabolic NoDivision
1	13.89	DNA/RNA/Protein/Metabolic NoDivision
5	8.944	Non Essential Divided
8	10.19	Non Essential Divided
3	13.89	DNA/RNA/Protein/Metabolic NoDivision
2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1	10.29	Non Essential Divided
6 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 8	9.836	Non Essential Divided
6 3	10.43	Non Essential Divided
6 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 8	10.67	Non Essential Divided
1 3	12.09	Non Essential Divided
1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5	12.57	Non Essential Divided
4 6 8	9.406	Non Essential Divided
4 6 3	12.76	Non Essential Divided
4 6 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 8	9.842	Non Essential Divided
4 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
